"Category","DisplayName","Name","Alias","PrimarySmtpAddress","EmailAddresses","RecipientTypeDetails","AccessType","IsTeam","HiddenFromAddressListsEnabled","RequireSenderAuthenticationEnabled","ManagedBy","WhenCreatedUTC","ExternalDirectoryObjectId","Identity"
"DistributionList","CO-022 Cadets","CO-022 Cadets","CO-022Cadets","CO-022-Cadets@cowg.cap.gov","smtp:CO-022Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-022-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:45 PM","4952ed04-b03d-433b-81d0-9f0067d3555f","CO-022 Cadets"
"DistributionList","CO-022 Seniors","CO-022 Seniors","CO-022Seniors","CO-022-Seniors@cowg.cap.gov","smtp:CO-022Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-022-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:39 PM","31c80557-e413-4cf3-a924-84008c9d385c","CO-022 Seniors"
"DistributionList","CO-022 VANCE BRAND CADET SQDN","CO-022","CO-022","CO-022@cowg.cap.gov","smtp:CO-022@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-022@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:12:28 AM","ee30ebdd-b935-445f-b6f0-4ac9af561f43","CO-022"
"DistributionList","CO-030 Cadet Staff","CO-030 Cadet Staff","CO030CadetStaff","CO030CadetStaff@cowg.cap.gov","SMTP:CO030CadetStaff@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","","5/13/2020 1:56:40 PM","a5316462-51bd-4bf7-a098-5a0e3e204526","CO-030 Cadet Staff"
"DistributionList","CO-030 Cadets","CO-030 Cadets","CO-030Cadets","CO-030-Cadets@cowg.cap.gov","smtp:CO-030Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-030-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:46 PM","b3d866d1-d0c8-4c9b-bc0f-86eaddd73c59","CO-030 Cadets"
"DistributionList","CO-030 COLORADO SPRINGS CADET SQDN","CO-030","CO-030","CO-030@cowg.cap.gov","smtp:CO-030@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-030@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/5/2025 2:15:51 PM","3594cee5-4536-48a1-ad89-50c88c93986f","CO-030"
"DistributionList","CO-030 Seniors","CO-030 Seniors","CO-030Seniors","CO-030-Seniors@cowg.cap.gov","smtp:CO-030Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-030-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:41 PM","4a1af2a6-b9bd-4d40-8f5d-e79092a24705","CO-030 Seniors"
"DistributionList","CO-031 Cadets","CO-031 Cadets20230812213252","co-031-cadets","co-031-cadets@cowg.cap.gov","smtp:co-031-cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:co-031-cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","8/12/2023 9:32:55 PM","bac2a707-d624-4413-bdbe-f31b4eb52900","CO-031 Cadets20230812213252"
"DistributionList","CO-031 FOOTHILLS CADET SQDN","CO-031","CO-031","CO-031@cowg.cap.gov","smtp:CO-031@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-031@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:12:38 AM","808e245e-ed54-4792-b0aa-c6f678105ceb","CO-031"
"DistributionList","CO-031 Seniors","CO-031 Seniors20230812213547","co-031-seniors","co-031-seniors@cowg.cap.gov","smtp:co-031-seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:co-031-seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","8/12/2023 9:35:49 PM","dd4504c2-66a5-48fe-abe5-0c0ab82cef22","CO-031 Seniors20230812213547"
"DistributionList","CO-053 Cadets","CO-053 Cadets","CO-053Cadets","CO-053-Cadets@cowg.cap.gov","smtp:CO-053Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-053-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:48 PM","5f2cf843-7539-4829-8fda-0d8fffc50d3e","CO-053 Cadets"
"DistributionList","CO-053 EAGLE COUNTY COMPOSITE SQUADRON","CO-053","CO-053","CO-053@cowg.cap.gov","smtp:CO-053@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-053@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:12:43 AM","585700c1-7cab-4214-b1ef-b16c5ddd7d7f","CO-053"
"DistributionList","CO-053 Seniors","CO-053 Seniors","CO-053Seniors","CO-053-Seniors@cowg.cap.gov","smtp:CO-053Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-053-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:43 PM","d99b99fc-4d50-450c-a1a9-cb0e5ed58205","CO-053 Seniors"
"DistributionList","CO-068 Cadets","CO-068 Cadets","CO-068Cadets","CO-068-Cadets@cowg.cap.gov","smtp:CO-068Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-068-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:50 PM","617e6472-f77e-4edc-8e0d-d9001f84bdd9","CO-068 Cadets"
"DistributionList","CO-068 NORTH VALLEY COMPOSITE SQDN","CO-068","CO-068","CO-068@cowg.cap.gov","smtp:CO-068@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-068@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/5/2025 2:18:13 PM","cd536d95-97f1-4163-8560-ab437dd73a35","CO-068"
"DistributionList","CO-068 Seniors","CO-068 Seniors","CO-068Seniors","CO-068-Seniors@cowg.cap.gov","smtp:CO-068Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-068-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:45 PM","fcd46ec4-2fda-4036-8a2b-54c8ecf021b2","CO-068 Seniors"
"DistributionList","CO-072 BOULDER COMPOSITE SQDN","CO-072","CO-072","CO-072@cowg.cap.gov","smtp:CO-0726982@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-072@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:12:51 AM","9b80f671-0980-4fbd-9b61-28cde315c5f9","CO-072"
"DistributionList","CO-072 Cadets","CO-072 Cadets","CO-072Cadets","CO-072-Cadets@cowg.cap.gov","smtp:CO-072Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-072-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 11:53:56 PM","2a5c148c-d08d-43eb-93f3-882f43afcfca","CO-072 Cadets"
"DistributionList","CO-072 Seniors","CO-072 Seniors","CO-072Seniors","CO-072-Seniors@cowg.cap.gov","smtp:CO-072Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-072-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 11:52:43 PM","9378120e-994e-41ad-9899-b4f19002eaf5","CO-072 Seniors"
"DistributionList","CO-080 Cadets","CO-080 Cadets","CO-080Cadets","CO-080-Cadets@cowg.cap.gov","smtp:CO-080Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-080-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/18/2025 12:05:03 AM","bdc7d0de-ff4b-432e-9692-1ab3229d5cdf","CO-080 Cadets"
"DistributionList","CO-080 IT","CO-080 IT20250919231052","CO-080_IT","CO-080_IT@cowg.cap.gov","smtp:CO-080_IT@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-080_IT@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","c1388ce1-04bf-4889-b66f-d90d64860137;dparrish","9/19/2025 11:10:59 PM","b6cee217-477a-4b71-90a4-8f68ee0c41e1","CO-080 IT20250919231052"
"DistributionList","CO-080 O-flight Pilots","CO-080 O-flight Pilots20231114012639","PPCS_Oride_pilots","PPCS_Oflight_pilots@cowg.cap.gov","smtp:PPCS_Oride_pilots@cowg.cap.gov;SMTP:PPCS_Oflight_pilots@cowg.cap.gov;smtp:PPCS_Oride_pilots@COCivilAirPatrol.onmicrosoft.com","MailUniversalDistributionGroup","","False","False","False","dparrish","11/14/2023 1:26:48 AM","71005a20-d373-43e5-a5aa-b2d32a048936","CO-080 O-flight Pilots20231114012639"
"DistributionList","CO-080 PIKES PEAK COMPOSITE SQDN","CO-080","CO-080","CO-080@cowg.cap.gov","smtp:CO-0802261@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-080@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:12:56 AM","3520f1ab-5648-41ef-8cfe-f6b4848a1605","CO-080"
"DistributionList","CO-080 PPCS Cadet Development","CO-080 PPCS Cadet Development20211202212910","PPCS-cadet_dev","PPCS-cadet_dev@cowg.cap.gov","smtp:PPCS-cadet_dev@COCivilAirPatrol.onmicrosoft.com;SMTP:PPCS-cadet_dev@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","","12/2/2021 9:29:21 PM","655526df-280c-46e4-b5b7-c880b7e86203","CO-080 PPCS Cadet Development20211202212910"
"DistributionList","CO-080 PPCS ES Training Group","CO-080 PPSS ES Training Group20210629212430","PPSS-ES_Training","PPCS-ES_Training@cowg.cap.gov","SMTP:PPCS-ES_Training@cowg.cap.gov;smtp:PPSS-ES_Training@cowg.cap.gov;smtp:PPSS-ES-Training@cowg.cap.gov;smtp:PPSS-ES-Training@COCivilAirPatrol.onmicrosoft.com","MailUniversalDistributionGroup","","False","False","False","","6/29/2021 9:24:34 PM","e8009f66-65fd-40ab-83d3-ecf99b7377a8","CO-080 PPSS ES Training Group20210629212430"
"DistributionList","CO-080 PPCS Recruiting","CO-080 PPSS Recruiting20200824192035","PPSS_recruiting","PPCS_recruiting@cowg.cap.gov","SMTP:PPCS_recruiting@cowg.cap.gov;smtp:PPSS_recruiting@cowg.cap.gov;smtp:PPSS_recruiting@COCivilAirPatrol.onmicrosoft.com","MailUniversalDistributionGroup","","False","False","False","","8/24/2020 7:20:36 PM","f7dd480f-ce97-48a7-9065-66b5733a1329","CO-080 PPSS Recruiting20200824192035"
"DistributionList","CO-080 Seniors","CO-080 Seniors","CO-080Seniors","CO-080-Seniors@cowg.cap.gov","smtp:CO-080Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-080-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/18/2025 12:03:36 AM","575f8997-4908-4dfc-8c2e-09fb64ff6916","CO-080 Seniors"
"DistributionList","CO-098 Cadets","CO-098 Cadets","CO-098Cadets","CO-098-Cadets@cowg.cap.gov","smtp:CO-098Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-098-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:54 PM","e1a206b3-3f43-4849-b07a-d0c3d2d6ca98","CO-098 Cadets"
"DistributionList","CO-098 FREMONT STARFIRE CADET SQDN","CO-098","CO-098","CO-098@cowg.cap.gov","smtp:CO-098@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-098@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:13:06 AM","2e8126ab-8e45-4827-88a1-5c15d12afabf","CO-098"
"DistributionList","CO-098 Seniors","CO-098 Seniors","CO-098Seniors","CO-098-Seniors@cowg.cap.gov","smtp:CO-098Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-098-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:49 PM","59b974f3-3a19-4231-9c74-f3ca08ad441f","CO-098 Seniors"
"DistributionList","CO-099 Broomfield Composite","CO-099 Broomfield Composite20220621030235","broomfield","broomfield@cowg.cap.gov","smtp:broomfield@COCivilAirPatrol.onmicrosoft.com;SMTP:broomfield@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","Mark.Ringer","6/21/2022 3:02:37 AM","7ae0e1fa-31fb-4183-8df1-0b60fb3c3999","CO-099 Broomfield Composite20220621030235"
"DistributionList","CO-099 BROOMFIELD COMPOSITE SQDN","CO-099","CO-099","CO-099@cowg.cap.gov","smtp:CO-0996877@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-099@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:13:11 AM","94b395c9-061a-44ff-8a83-f189e99f02fc","CO-099"
"DistributionList","CO-099 Cadets","CO-099 Cadets20230611175500","co-099-cadets","co-099-cadets@cowg.cap.gov","smtp:co-099-cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:co-099-cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","6/11/2023 5:55:01 PM","505b5485-0f93-480a-9291-235b11d9f390","CO-099 Cadets20230611175500"
"DistributionList","CO-099 Seniors","CO-099 Seniors20230611175316","co-099-seniors","co-099-seniors@cowg.cap.gov","smtp:co-099-seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:co-099-seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","6/11/2023 5:53:18 PM","d5b2f62f-3b3b-4161-a0d3-9f169bda984e","CO-099 Seniors20230611175316"
"DistributionList","CO-136 All Members","CO-136 All Members20210815200622","CO-136All","CO-136All@cowg.cap.gov","smtp:CO-136All@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-136All@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","robyusko;Robert.Gamber;rgreenlee","8/15/2021 8:06:27 PM","67481b80-a34b-483c-9e5e-f59f7f80d379","CO-136 All Members20210815200622"
"DistributionList","CO-136 Cadets","CO-136 Cadets","CO-136Cadets","CO-136-Cadets@cowg.cap.gov","smtp:CO-136Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-136-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:56 PM","712b77a5-8cdc-42a7-a02c-8b991810b7e3","CO-136 Cadets"
"DistributionList","CO-136 Command","CO-136 Command","rmrco136command","rmrco136command@cowg.cap.gov","smtp:command@jeffcocap.org;SMTP:rmrco136command@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","CO-136 Information Technology20201217004439;Robert.Gamber","4/17/2020 3:36:36 PM","61966680-a6af-4e1a-adc4-ceade6d0d20e","CO-136 Command"
"DistributionList","CO-136 JEFFERSON COUNTY SENIOR SQDN","CO-136","CO-136","CO-136@cowg.cap.gov","smtp:CO-136@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-136@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:13:20 AM","13937b50-4c01-4b45-b0e7-c05df4200abe","CO-136"
"DistributionList","CO-136 N594CP pilots & crew","CO-136 N594CP pilots & crew","94c_status","94c_status@cowg.cap.gov","smtp:94c_status@jeffcocap.org;SMTP:94c_status@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","Robert.Gamber","4/17/2020 3:50:22 PM","edd732cc-c163-43a5-9c92-a816bc805ca9","CO-136 N594CP pilots & crew"
"DistributionList","CO-136 Seniors","CO-136 Seniors","CO-136Seniors","CO-136-Seniors@cowg.cap.gov","smtp:CO-136Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-136-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:51 PM","5d5b97a7-d5f0-4a75-a8d6-53ed1450142c","CO-136 Seniors"
"DistributionList","CO-141 Cadets","CO-141 Cadets20230619214552","co-141-cadets","co-141-cadets@cowg.cap.gov","smtp:co-141-cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:co-141-cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","6/19/2023 9:45:56 PM","2e65201c-2fe2-43cf-a615-1f0be5782bfb","CO-141 Cadets20230619214552"
"DistributionList","CO-141 MONTROSE COMPOSITE SQDN","CO-141","CO-141","CO-141@cowg.cap.gov","smtp:CO-141@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-141@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:13:24 AM","48ba8cd7-2175-41dc-947a-dd762c5f7b5e","CO-141"
"DistributionList","CO-141 Seniors","CO-141 Seniors20230619214645","co-141-seniors","co-141-seniors@cowg.cap.gov","smtp:co-141-seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:co-141-seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","6/19/2023 9:46:48 PM","27baa3fd-d7ac-4d88-8aa5-958574b2ea98","CO-141 Seniors20230619214645"
"DistributionList","CO-143 Cadets","CO-143 Cadets20230812220043","co-143-cadets","co-143-cadets@cowg.cap.gov","smtp:co-143-cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:co-143-cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","8/12/2023 10:00:44 PM","a415735e-e24c-4dd0-b552-7d483d2bf3a6","CO-143 Cadets20230812220043"
"DistributionList","CO-143 MILE HIGH CADET SQUADRON","CO-143","CO-143","CO-143@cowg.cap.gov","smtp:CO-143@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-143@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:13:29 AM","f09b9a22-0948-465b-b2d0-99d569fbb8ad","CO-143"
